short_name,full_name,website,attorney_name
&Z,,,John G. Cronin
A&C,,,Mary Beth L. Sweeney
AB&D,,,Jared R. Green
AK,,,Marshall Gilinsky
B&B,,,"Emile R. Bussiere, Jr"
B&C,,,Bernard H. Campbell
B&M,,,Gary S. Harding
B&M,,,Kevin W. Stuart
B&M,,,Michael G. Lee
B&M,,,Michelle A. Broadhurst
B&W,,,Jon N. Strasburger
B&Z,,,Melvin T. Diep
BA-V&B,,,Christopher A. Bandazian
BB,,,Katherine L.I. Hacker
BCM,,,Amy Manzelli
BKT&C,,,Kenneth H. Naide
BLI&H,,,Jaye L. Rancourt
BLI&H,,,Michael J. Iacopino
BM&B,,,B.J. Branch
BM&B,,,John A. Wolkowski
BON&D,,,Pamela J. Newkirk
BSS&N,,,Andru H. Volinsky
BSS&N,,,Edward J. Sackman
BSS&N,,,Ovide M. Lamontagne
BSS&N,,,"Roy W. Tilsley, Jr"
BSS&N,,,"Roy W. Tilsley, Jr."
BTLA,,,Union Academy
BWDW&S,,,Christopher E. Grant
Bianco PA,,,"James J. Bianco, Jr."
C&P,,,Joy L. Langford
C&R,,,John J. Ryan
CAB,,,Beverly Desmarais
CB&Z,,,Christopher B. Drescher
CB&Z,,,"Daniel D. Muller, Jr"
CCC,,,Christopher T. Meier
CCC,,,Randall F. Cooper
CLR&M,,,Kathleen M. Mahan
CM&O,,,John A. Curran
CRM&L,,,"James E. Coughenour, Jr."
CW&B,,,David W. Rayment
CW&B,,,Jeffrey C. Christensen
CW&B,,,Mark D. Wiseman
City of Concord,,,Danielle L. Pacik
City of Concord,,,"James W. Kennedy, III"
City of Dover,,,Joshua M. Wyatt
City of Nashua,,,Christine K. Leonard
City of Nashua,,,Nicole M. Clay
D&D,,,William R. Drescher
D&S,,,Gregory L. Silverman
DL&G,,,Benjamin T. King
DL&G,,,Jared J. Bedrick
DM&B,,,Eric G. Falkenham
DM&B,,,Jonathan M. Shirley
DM&B,,,Matthew R. Johnson
DM&B,,,Richard P. Driscoll
DM&B,,,"Thomas B. Quarles, Jr"
DM&B,,,Thomas Quarles
DM&B,,,William F. Gramer
DS,,,Kirsten B. Wilson
DT&C,,,Christopher L. Boldt
DT&C,,,Christopher T. Hilson
DT&C,,,Eric A. Maher
DT&C,,,William K. Warren
DW,,,Demetrio F. Aspiras
DW,,,Keriann Roman
DW&M,,,"Demetrio F. Aspiras, III"
Desmarais L/G,,,Debra L. Mayotte
ELG,,,J.P. Hawley
F&B,,,Jesse Friedman
F&B,,,John J. Bresaw
FCP&A,,,Steven A. Clark
G&S,,,William E. Gens
GC&G,,,Matthew V. Burrows
GC&G,,,R. Matthew Cairns
GC&G,,,Robert J. Dietel
GC&G,,,Samantha D. Elliott
GS&S,,,Elizabeth L. Hurley
GS&S,,,Naomi L. Getman
GSS&P,,,Clara E. Lyons
H&B,,,Sherman D. Honig
H&K,,,Kevin P. Rauseo
H&M,,,Maureen Howard
HH,,,Jamie N. Hage
HH,,,Robert H. Hodes
HLF,,,Kevin S. Hannon
HM,,,"Peter J. Malia, Jr"
HP&L,,,Christopher J. Fischer
HPG&R,,,Jacob Marvelley
J&K,,,William K. Koppenheffer
JL,,,Matthew R. Van Oot
JL,,,Samuel H. Martin
KD&W,,,David L. Zalman
LC,,,Mark A. Darling
LG,,,Richard C. Guerriero
LG,,,Theodore M. Lothstein
LLS,,,Daniel P. Hynes
LML,,,Richard J. Lehmann
M&B,,,Corey M. Belobrow
M&H,,,Stephen T. Martin
M&K,,,John S. Krupski
M&K,,,Marc G. Beaudoin
M&M,,,Mark D. Morrissette
M&S,,,Gregory V. Sullivan
M&S,,,Kathleen C. Sullivan
MEE&B,,,Edmund A. Allcock
MGR&M,,,Peter D. Anderson
ML&O,,,Lissa D. Mascio
MM,,,Brian A. Suslak
MM,,,Bruce W. Felmly
MM,,,Jeremy T. Walker
MM,,,John P. Knight
MM,,,Linda M. Smith
MM,,,R. David DePuy
MM,,,Scott H. Harris
MM,,,"Wilbur A. Glahn, III"
MMG,,,"Joseph H. Driscoll, IV"
MMG,,,Laura A. Spector-Morgan
MMG,,,Laura Spector-Morgan
MOW&M,,,Robert J. Meagher
Marshall L/O,,,Brian D. Kenyon
NC&O,,,William D. Woodbury
NEA-NH,,,James F. Allmendinger
NERE&LUL,,,Nancy M. Clark
NH Appellate Defender,,,Anthony J. Naro
NH Appellate Defender,,,Anthony Naro
NH Appellate Defender,,,Carl Swenson
NH Appellate Defender,,,Christine C. List
NH Appellate Defender,,,Christopher M. Johnson
NH Appellate Defender,,,David
NH Appellate Defender,,,David M. Hendricks
NH Appellate Defender,,,David M. Rothstein
NH Appellate Defender,,,David W. Flinchbaugh
NH Appellate Defender,,,Eric S. Wolpin
NH Appellate Defender,,,Jason M. Novak
NH Appellate Defender,,,Joseph M. Frankel
NH Appellate Defender,,,Maria D. Savarese
NH Appellate Defender,,,Matthew Mc
NH Appellate Defender,,,Matthew McNicoll
NH Appellate Defender,,,Pamela E. Phelan
NH Appellate Defender,,,Pamela Phelan
NH Appellate Defender,,,Paul Borchardt
NH Appellate Defender,,,Sarah E. Newhall
NH Appellate Defender,,,Stephanie C. Hau
NH Appellate Defender,,,Stephanie C. Hausman
NH Appellate Defender,,,Stephanie Hausman
NH Appellate Defender,,,Thomas A. Barnard
NH Appellate Defender,,,Thomas Barn
NH Appellate Defender,,,Thomas Barnard
NH Attorney General,,,Aaron Ginsberg
NH Attorney General,,,Allison B. Greenstein
NH Attorney General,,,Anthony J. Galdieri
NH Attorney General,,,Anthony P. Girgenti
NH Attorney General,,,Audriana Mekula
NH Attorney General,,,Benjamin W. Maki
NH Attorney General,,,Brandon H. Garod
NH Attorney General,,,Brendan A. O'Donnell
NH Attorney General,,,Bryan J. Townsend
NH Attorney General,,,Callan E. Sullivan
NH Attorney General,,,Christina M. Wilson
NH Attorney General,,,Christopher G. Aslin
NH Attorney General,,,Christopher G. Bond
NH Attorney General,,,Colin P. Carroll
NH Attorney General,,,Daniel E. Will
NH Attorney General,,,Danielle E. Horgan
NH Attorney General,,,Danielle E. Sakowski
NH Attorney General,,,Diana E. Fenton
NH Attorney General,,,Elizabeth
NH Attorney General,,,Elizabeth A. Lahey
NH Attorney General,,,Elizabeth C. Velez
NH Attorney General,,,Elizabeth C. Woodcock
NH Attorney General,,,Elizabeth Woodcock
NH Attorney General,,,Emily C. Goering
NH Attorney General,,,Erin E. Fitzgerald
