short_name,full_name,website,attorney_name,review_status
&Z,"Cronin, Bisson & Zalinsky, P.C.",https://www.cbzlaw.com,John G. Cronin,pre-existing
A&C,"Atwood & Cherny, P.C.",https://www.atwoodcherny.com,Mary Beth L. Sweeney,pre-existing
AB&D,"Abramson, Brown & Dugan, P.A.",https://www.arbd.com,Jared R. Green,pre-existing
AK,Anderson Kill P.C.,https://andersonkill.com,Marshall Gilinsky,pre-existing
B&B,"Bussiere & Bussiere, P.A.",https://bussierelaw.com,"Emile R. Bussiere, Jr",pre-existing
B&C,Beaumont & Campbell Professional Associates,https://beaumontandcampbell.com,Bernard H. Campbell,pre-existing
B&M,"Bernard & Merrill, PLLC",https://www.bernard-merrill.com,Gary S. Harding,pre-existing
B&M,"Bernard & Merrill, PLLC",https://www.bernard-merrill.com,Kevin W. Stuart,pre-existing
B&M,"Bernard & Merrill, PLLC",https://www.bernard-merrill.com,Michael G. Lee,pre-existing
B&M,"Bernard & Merrill, PLLC",https://www.bernard-merrill.com,Michelle A. Broadhurst,pre-existing
B&W,"Bossie & Wilson, PLLC",https://bossiewilson.com/,Jon N. Strasburger,user-confirmed firm mapping
B&Z,Buckley & Zopf,https://www.buckleyzopf.com/,Melvin T. Diep,matched — expanded all-attorney historical verification
BA-V&B,"Borofsky, Amodeo-Vickery & Bandazian, P.A.",https://www.attorneysnh.com,Christopher A. Bandazian,pre-existing
BB,Bartlit Beck LLP,https://www.bartlit-beck.com,Katherine L.I. Hacker,pre-existing
BCM,"BCM Environmental & Land Law, PLLC",https://bcmenvirolaw.com,Amy Manzelli,pre-existing
BKT&C,Bonner Kiernan Trebach & Crociata LLP,https://www.bktc.com,Kenneth H. Naide,matched
BLI&H,"Brennan, Lenehan, Iacopino & Hickey",https://www.brennanlenehan.com,Jaye L. Rancourt,pre-existing
BLI&H,"Brennan, Lenehan, Iacopino & Hickey",https://www.brennanlenehan.com,Michael J. Iacopino,pre-existing
BM&B,"Backus, Meyer & Branch, LLP",https://www.backusmeyer.com,B.J. Branch,pre-existing
BM&B,"Backus, Meyer & Branch, LLP",https://www.backusmeyer.com,John A. Wolkowski,pre-existing
BON&D,"Barradale, O'Connell, Newkirk & Dwyer, P.A.",https://www.newkirklawpllc.com,Pamela J. Newkirk,pre-existing
BSS&N,"Bernstein, Shur, Sawyer & Nelson, P.A.",https://www.bernsteinshur.com,Andru H. Volinsky,pre-existing
BSS&N,"Bernstein, Shur, Sawyer & Nelson, P.A.",https://www.bernsteinshur.com,Edward J. Sackman,pre-existing
BSS&N,"Bernstein, Shur, Sawyer & Nelson, P.A.",https://www.bernsteinshur.com,Ovide M. Lamontagne,pre-existing
BSS&N,"Bernstein, Shur, Sawyer & Nelson, P.A.",https://www.bernsteinshur.com,"Roy W. Tilsley, Jr",pre-existing
BSS&N,"Bernstein, Shur, Sawyer & Nelson, P.A.",https://www.bernsteinshur.com,"Roy W. Tilsley, Jr.",pre-existing
BTLA,,,Union Academy,skipped — non-law-firm organization
BWDW&S,"Boynton, Waldron, Doleac, Woodman & Scott, P.A.",https://www.boyntonwaldron.com,Christopher E. Grant,pre-existing
Bianco PA,Bianco Professional Association,https://www.biancopa.com,"James J. Bianco, Jr.",pre-existing
C&P,Chadbourne & Parke LLP,https://www.nortonrosefulbright.com,Joy L. Langford,pre-existing
