argument_id,disposition_id,disposition_type,link_method,link_confidence,is_final_disposition
2013-0543,2013-0543,opinion,docket_match,high,True
2013-0828,2013-0828,opinion,docket_match,high,True
2013-0833,2013-0833,case_order,docket_match,high,True
2008-0945,2008-0945,opinion,docket_match,high,True
2014-0078,2014-0078,opinion,docket_match,high,True
2014-0141,2014-0141,opinion,docket_match,high,True
2014-0158,2014-0158,opinion,docket_match,high,True
2014-0306,2014-0306,case_order,docket_match,high,True
2014-0343,2014-0343,case_order,docket_match,high,True
2013-0670,2013-0670,3jx_order,docket_match,high,True
2013-0840,2013-0840,3jx_order,docket_match,high,True
2014-0197,2014-0197,3jx_order,docket_match,high,True
2014-0082,2014-0082,3jx_order,docket_match,high,True
2014-0283,2014-0283,case_order,docket_match,high,True
2013-0893,2013-0893,opinion,docket_match,high,True
2014-0025,2014-0025,opinion,docket_match,high,True
2014-0200,2014-0200,opinion,docket_match,high,True
2014-0203,2014-0203,case_order,docket_match,high,True
2014-0285,2014-0285,opinion,docket_match,high,True
2014-0342,2014-0342,case_order,docket_match,high,True
2014-0402,2014-0402,opinion,docket_match,high,True
2013-0653,2013-0653,case_order,docket_match,high,True
2014-0028,2014-0028,opinion,docket_match,high,True
2014-0071,2014-0071,opinion,docket_match,high,True
2014-0081,2014-0081,case_order,docket_match,high,True
2014-0224,2014-0224,opinion,docket_match,high,True
2014-0312,2014-0312,opinion,docket_match,high,True
2014-0327,2014-0327,case_order,docket_match,high,True
2014-0358,2014-0358,case_order,docket_match,high,True
2014-0407,2014-0407,opinion,docket_match,high,True
2014-0428,2014-0428,opinion,docket_match,high,True
2014-0595,2014-0595,opinion,docket_match,high,True
2014-0596,2014-0596,case_order,docket_match,high,True
2013-0411,2015072wolters,opinion,docket_match,high,True
2014-0116,2014-0116,opinion,docket_match,high,True
2014-0254,2014-0254,case_order,docket_match,high,True
2014-0257,2014-0257,case_order,docket_match,high,True
2014-0420,2014-0420,opinion,docket_match,high,True
2014-0424,2014-0424,case_order,docket_match,high,True
2014-0465,2014-0465,opinion,docket_match,high,True
