argument_id,attorney_name,firm,side,role,source
2013-0543,Friedrich K. Moeckel,"Tarbell & Brodich, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0543,Elizabeth L. Hurley,"Getman, Stacey, Schulthess & Steere, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0828,Stephen D. Fuller,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0828,Christopher M. Johnson,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0833,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0833,"John L. Riff, IV",,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2008-0945,Jeffery A. Strelzin,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2008-0945,John J. Kennedy,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2008-0945,David M. Rothstein,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2008-0945,Christopher M. Johnson,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0078,Susan P. McGinnis,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0078,Stephanie C. Hausman,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0141,William K. Koppenheffer,Janson & Koppenheffer PLLC,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0141,David W. Rayment,"Cleveland, Waters and Bass, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0158,Philip B. Bradley,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0158,Brad C. Davis,"Seufert, Davis & Hunt, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0306,Edmund A. Allcock,"Marcus, Errico, Emmer & Brooks, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0306,John J. Ryan,Casassa and Ryan,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0343,Samantha D. Elliott,"Gallagher, Callahan & Gartrell, PC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0343,R. Peter Decato,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
