argument_id,topic
2013-0543,insurance
2013-0543,civil_procedure
2013-0543,constitutional
2013-0543,property
2013-0543,contract
2013-0543,tort
2013-0828,criminal
2013-0828,administrative_law
2013-0828,family_law
2013-0828,evidence
2013-0828,DWI
2013-0833,criminal
2013-0833,constitutional
2013-0833,tort
2013-0833,evidence
2008-0945,criminal
2008-0945,family_law
2008-0945,statutory_interpretation
2008-0945,constitutional
2008-0945,property
2014-0078,criminal
2014-0078,civil_procedure
2014-0078,constitutional
2014-0078,evidence
2014-0141,statutory_interpretation
2014-0141,property
2014-0141,contract
2014-0141,tort
2014-0158,statutory_interpretation
2014-0158,contract
2014-0158,tort
2014-0306,civil_procedure
2014-0343,criminal
2014-0343,administrative_law
2014-0343,civil_procedure
2014-0343,statutory_interpretation
2014-0343,constitutional
2014-0343,property
2014-0343,employment
2014-0343,contract
2014-0283,criminal
2014-0283,domestic_violence
2013-0893,statutory_interpretation
2013-0893,property
2014-0025,criminal
2014-0025,administrative_law
2014-0025,family_law
2014-0025,evidence
2014-0025,DWI
2014-0200,criminal
2014-0200,civil_procedure
2014-0200,statutory_interpretation
2014-0200,constitutional
2014-0200,property
2014-0200,tax
2014-0203,civil_procedure
2014-0203,statutory_interpretation
2014-0203,property
2014-0203,contract
2014-0203,tax
2014-0285,insurance
2014-0285,civil_procedure
2014-0285,statutory_interpretation
2014-0285,property
2014-0285,contract
2014-0285,tort
2014-0342,property
2014-0342,contract
2014-0402,criminal
2014-0402,insurance
2014-0402,family_law
2014-0402,civil_procedure
2014-0402,statutory_interpretation
2014-0402,property
2014-0402,tort
2014-0402,evidence
2014-0402,tax
2013-0653,criminal
2013-0653,competency
2013-0653,constitutional
2014-0028,criminal
2014-0028,competency
2014-0028,constitutional
2014-0028,property
2014-0028,employment
2014-0028,evidence
2014-0071,criminal
2014-0071,statutory_interpretation
2014-0071,evidence
2014-0081,civil_procedure
2014-0081,property
2014-0081,contract
2014-0081,tort
2014-0081,tax
2014-0224,family_law
2014-0224,civil_procedure
2014-0224,statutory_interpretation
2014-0224,constitutional
2014-0224,evidence
2014-0312,administrative_law
2014-0327,criminal
2014-0358,insurance
2014-0358,family_law
2014-0358,statutory_interpretation
2014-0358,employment
2014-0358,contract
2014-0407,criminal
2014-0407,civil_procedure
2014-0407,constitutional
2014-0428,administrative_law
2014-0428,statutory_interpretation
2014-0428,property
2014-0428,tax
2014-0595,criminal
2014-0595,competency
2014-0595,constitutional
2014-0595,evidence
2014-0595,tax
2014-0596,administrative_law
2014-0596,civil_procedure
2014-0596,constitutional
2014-0596,employment
2014-0596,contract
2014-0596,tort
2013-0411,insurance
2013-0411,family_law
2013-0411,civil_procedure
2013-0411,property
2013-0411,tort
2013-0411,tax
2014-0116,criminal
2014-0116,family_law
2014-0116,constitutional
2014-0254,DWI
2014-0257,property
2014-0257,contract
2014-0257,tax
2014-0420,civil_procedure
2014-0420,contract
2014-0420,tort
2014-0424,criminal
2014-0424,administrative_law
2014-0465,property
2014-0465,contract
2014-0465,tort
2014-0703,civil_procedure
2014-0703,statutory_interpretation
2014-0703,property
2014-0703,tort
2014-0458,insurance
2014-0458,civil_procedure
2014-0458,statutory_interpretation
2014-0458,property
2014-0458,contract
2014-0496,criminal
2014-0496,administrative_law
2014-0496,civil_procedure
2014-0496,constitutional
2014-0496,contract
2014-0496,tort
2014-0509,insurance
2014-0509,administrative_law
2014-0509,statutory_interpretation
2014-0509,property
2014-0509,tort
2014-0512,administrative_law
2014-0512,civil_procedure
2014-0512,statutory_interpretation
2014-0512,constitutional
2014-0512,property
2014-0512,contract
2014-0540,administrative_law
2014-0540,civil_procedure
2014-0540,statutory_interpretation
2014-0540,property
2014-0540,employment
2014-0540,contract
2014-0558,administrative_law
2014-0558,civil_procedure
2014-0558,constitutional
2014-0635,insurance
2014-0635,family_law
2014-0635,civil_procedure
2014-0635,statutory_interpretation
2014-0635,property
2014-0635,contract
2014-0635,tort
2014-0686,criminal
2014-0686,administrative_law
2014-0686,statutory_interpretation
2014-0686,contract
2014-0686,tort
2014-0686,DWI
2013-0623,criminal
2013-0623,constitutional
2013-0623,evidence
2014-0133,criminal
2014-0133,family_law
2014-0133,constitutional
2014-0133,property
2014-0133,employment
2014-0133,tort
2014-0133,evidence
2014-0133,DWI
2014-0133,tax
2014-0291,civil_procedure
2014-0291,statutory_interpretation
2014-0291,constitutional
2014-0291,property
2014-0291,contract
2014-0291,tort
2014-0291,tax
2014-0378,criminal
2014-0378,civil_procedure
2014-0378,statutory_interpretation
2014-0378,property
2015-0203,criminal
2015-0203,administrative_law
2015-0203,statutory_interpretation
2015-0203,constitutional
2015-0203,evidence
2014-0264,criminal
2014-0264,medicaid
2014-0264,civil_procedure
2014-0264,statutory_interpretation
2014-0264,property
2014-0264,tort
2014-0264,tax
2014-0336,civil_procedure
2014-0336,property
2014-0336,contract
2014-0417,criminal
2014-0417,family_law
2014-0417,civil_procedure
2014-0417,statutory_interpretation
2014-0417,property
2014-0417,contract
2014-0417,tort
2014-0417,tax
2014-0457,family_law
2014-0457,civil_procedure
2014-0457,statutory_interpretation
2014-0493,family_law
2014-0493,civil_procedure
2014-0493,statutory_interpretation
2014-0594,family_law
2014-0594,civil_procedure
2014-0594,property
2014-0594,contract
2014-0614,criminal
2014-0614,civil_procedure
2014-0614,constitutional
2014-0619,civil_procedure
2014-0619,statutory_interpretation
2014-0619,contract
2014-0619,tax
2013-0591,insurance
2013-0591,administrative_law
2013-0591,civil_procedure
2013-0591,statutory_interpretation
2013-0591,constitutional
2013-0591,property
2013-0591,contract
2013-0591,tort
2013-0591,evidence
2013-0591,tax
2013-0554,criminal
2013-0554,family_law
2013-0554,constitutional
2013-0554,property
2013-0554,employment
2013-0554,domestic_violence
2014-0364,family_law
2014-0364,property
2014-0480,criminal
2014-0480,insurance
2014-0480,administrative_law
2014-0480,civil_procedure
2014-0480,statutory_interpretation
2014-0480,constitutional
2014-0480,property
2014-0480,employment
2014-0480,contract
2014-0480,tort
2014-0480,evidence
2014-0480,domestic_violence
2014-0516,property
2014-0566,criminal
2014-0566,statutory_interpretation
2014-0566,constitutional
2014-0566,property
2013-0882,criminal
2013-0882,insurance
2013-0882,civil_procedure
2013-0882,statutory_interpretation
2013-0882,constitutional
2013-0882,contract
2013-0882,tort
2013-0882,evidence
2014-0459,civil_procedure
2014-0459,property
2014-0553,insurance
2014-0553,administrative_law
2014-0553,statutory_interpretation
2014-0553,constitutional
2014-0553,property
2014-0553,contract
2014-0553,tax
2014-0615,insurance
2014-0615,family_law
2014-0615,property
2014-0615,employment
2014-0615,tax
2014-0617,family_law
2014-0617,property
2014-0617,domestic_violence
2014-0617,tax
2014-0656,administrative_law
2014-0656,civil_procedure
2014-0656,tax
2014-0773,criminal
2014-0773,administrative_law
2014-0773,civil_procedure
2014-0773,statutory_interpretation
2014-0773,constitutional
2014-0773,property
2014-0773,contract
