source_file_key,source_type,docket_numbers,source_url,match_method,confidence,review_status
2001-573,opinion,"[""2001-573""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002179parmenter.pdf,source_case_number_and_caption,high,generated
2001-536,opinion,"[""2001-536""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002178letendre.pdf,source_case_number_and_caption,high,generated
2001-311,opinion,"[""2001-311""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002175locke.pdf,source_case_number_and_caption,high,generated
2001-400,opinion,"[""2001-400""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002176wingate.pdf,source_case_number_and_caption,high,generated
2001-172,opinion,"[""2001-172""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002172watkins.pdf,source_case_number_and_caption,high,generated
2002-011,opinion,"[""2002-011""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002174litchfield.pdf,source_case_number_and_caption,high,generated
2001-702,opinion,"[""2001-702""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002173monahan.pdf,source_case_number_and_caption,high,generated
2001-452,opinion,"[""2001-452""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002170trombley.pdf,source_case_number_and_caption,high,generated
2001-680,opinion,"[""2001-680""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002171geraldine.pdf,source_case_number_and_caption,high,generated
2000-193,opinion,"[""2000-193""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002168cook.pdf,source_case_number_and_caption,high,generated
2002-098,opinion,"[""2002-098""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002169juvenile.pdf,source_case_number_and_caption,high,generated
2001-492,opinion,"[""2001-492""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002166allard.pdf,source_case_number_and_caption,high,generated
2001-189,opinion,"[""2001-189""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002165raduazo.pdf,source_case_number_and_caption,high,generated
2000-495,opinion,"[""2000-495""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002164gordon00-495.pdf,source_case_number_and_caption,high,generated
2001-531,opinion,"[""2001-531""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002162sutton.pdf,source_case_number_and_caption,high,generated
2001-396,opinion,"[""2001-396""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002161luishall.pdf,source_case_number_and_caption,high,generated
2001-379,opinion,"[""2001-379""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002160grey.pdf,source_case_number_and_caption,high,generated
2001-354,opinion,"[""2001-354""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002158patten.pdf,source_case_number_and_caption,high,generated
2001-039,opinion,"[""2001-039""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002157looney.pdf,source_case_number_and_caption,high,generated
2001-429,opinion,"[""2001-429""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002159roy.pdf,source_case_number_and_caption,high,generated
2001-612,opinion,"[""2001-612""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002155torromeo.pdf,source_case_number_and_caption,high,generated
2001-523,opinion,"[""2001-523""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002154noah.pdf,source_case_number_and_caption,high,generated
2002-0181,opinion,"[""2002-0181""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002156wmur.pdf,source_case_number_and_caption,high,generated
2001-440,opinion,"[""2001-440""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002152koor.pdf,source_case_number_and_caption,high,generated
2001-272,opinion,"[""2001-272""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002151ingersoll.pdf,source_case_number_and_caption,high,generated
2001-635,opinion,"[""2001-635""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002153baines.pdf,source_case_number_and_caption,high,generated
2001-533,opinion,"[""2001-533""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002150awlpower.pdf,source_case_number_and_caption,high,generated
2002149sheridan,opinion,"[""2001-007""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002149sheridan.pdf,caption_text,high,generated
2001-687,opinion,"[""2001-687""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002148moody.pdf,source_case_number_and_caption,high,generated
2001-629,opinion,"[""2001-629""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002147reed.pdf,source_case_number_and_caption,high,generated
2001-485,opinion,"[""2001-485""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002146ward.pdf,source_case_number_and_caption,high,generated
2001-419,opinion,"[""2001-419""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002145macdonald.pdf,source_case_number_and_caption,high,generated
2000-487,opinion,"[""2000-487""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002143sargent.pdf,source_case_number_and_caption,high,generated
2000-058,opinion,"[""2000-058""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002142tongchen.pdf,source_case_number_and_caption,high,generated
2001-240,opinion,"[""2001-240"", ""2000-531""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002144glodgett.pdf,source_case_number_and_caption,high,generated
2001-516,opinion,"[""2001-516""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002139chrisicos.pdf,source_case_number_and_caption,high,generated
2000-682,opinion,"[""2000-682""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002138ernest.pdf,source_case_number_and_caption,high,generated
2001-563,opinion,"[""2001-563""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002140goode.pdf,source_case_number_and_caption,high,generated
