case_number,source_file_key,docket_numbers,citation,citation_year,citation_seq,case_name,pdf_url,date_argued,date_issued,days_to_decision,term_year,lower_court,lower_court_type,lower_court_judge,case_type,appeal_type,outcome,author,author_display,majority,dissent,concur_separate,not_participating,vote_string,is_unanimous,has_dissent,has_separate_concurrence,topics,rsa_citations,rsa_primary,involves_statutory_interpretation,standard_of_review,summary_paragraph,word_count,opinion_type,parse_version,parse_timestamp,parse_confidence
2014-0203,2014-0203,['2014-0203'],,,,Bill McDonough & a. v. Town of Belmont,https://www.nhmunicipal.org/sites/default/files/uploads/court_documents/mcdonough_v-belmont.pdf,,2015-04-03,,2015,Superior Court,superior_court,McNamara,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['civil_procedure', 'statutory_interpretation', 'property', 'contract', 'tax']",['RSA 231:49'],RSA 231:49,True,[],,1252,case_order,1.0.0,2026-07-17T00:49:23.734067,0.8
2012-0641,2012-0641,['2012-0641'],,,,"Elisha Badeau v. JPMorgan Chase Bank, NA",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20120641.pdf,,2015-07-14,,2015,"Superior Court (Colburn, J.)",superior_court,Colburn,civil,standard,affirmed,per_curiam,Per Curiam,2,0,0,1,2-0,True,False,False,['civil_procedure'],"['RSA 382-A:3-', 'RSA 382-A:3-501']",RSA 382-A:3-,False,['de_novo'],,775,case_order,1.0.0,2026-07-16T02:03:52.245743,0.8
2013-0016,2013-0016,['2013-0016'],,,,State of New Hampshire v. Daniel Fleury,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130016.pdf,,2015-01-23,,2015,"Superior Court (Smukler, J.)",superior_court,Smukler,criminal,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['criminal', 'constitutional']","['RSA 631:2', 'RSA 633:2', 'RSA 631:4', 'RSA 631:2, II']",RSA 631:2,False,['de_novo'],,1319,case_order,1.0.0,2026-07-16T02:03:53.415894,0.8
2013-0051,2013-0051,['2013-0051'],,,,Vyacheslav Baranov v. Valentin Karas,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130051.pdf,,2015-04-07,,2015,Circuit Court,circuit_court,Michael,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,['constitutional'],[],,False,[],,215,case_order,1.0.0,2026-07-16T02:03:54.087508,0.8
2013-0249,2013-0249,"['2013-0249', '2013-0426']",,,,State of New Hampshire v. Patrick McIntire,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130249.pdf,,2015-01-22,,2015,"Superior Court (O’Neill, J.)",superior_court,O’Neill,criminal,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,['criminal'],"['RSA 318-B:2', 'RSA 519:23-a']",RSA 318-B:2,False,[],,461,case_order,1.0.0,2026-07-16T02:03:54.668731,0.8
2013-0257,2013-0257,['2013-0257'],,,,State of New Hampshire v. Donald J. Freese,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130257.pdf,,2015-08-12,,2015,,,Smukler,criminal,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,['criminal'],"['RSA 631:2-a', 'RSA 626:8', 'RSA 631:4', 'RSA 625:11', 'RSA 651:6, I']",RSA 631:2-a,False,[],,1226,case_order,1.0.0,2026-07-16T02:03:57.709177,0.8
2013-0315,2013-0315,['2013-0315'],,,,State of New Hampshire v. Destin Stewart,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130315.pdf,,2015-02-18,,2015,"Superior Court (Delker, J.)",superior_court,Delker,family/domestic,standard,remanded,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['criminal', 'domestic_violence']","['RSA 631:2, I', 'RSA 633:2, I', 'RSA 631:4, I', 'RSA 631:2-a, I', 'RSA 633:3-a, I']","RSA 631:2, I",False,[],,1361,case_order,1.0.0,2026-07-16T02:03:58.026440,0.8
2013-0449,2013-0449,['2013-0449'],,,,State of New Hampshire v. Judith Tompson,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130449.pdf,,2015-06-09,,2015,,,,criminal,standard,dismissed,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['criminal', 'civil_procedure']","['RSA 631:3', 'RSA 642:2', 'RSA 265:4', 'RSA 625:11, V', 'RSA 631:3, II']",RSA 631:3,False,[],,1494,case_order,1.0.0,2026-07-16T02:03:58.518541,0.8
2013-0518,2013-0518,['2013-0518'],,,,State of New Hampshire v. Sabreena Morgan,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130518.pdf,,2015-12-03,,2015,"Superior Court (Lewis, J.)",superior_court,Lewis,criminal,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['criminal', 'civil_procedure', 'evidence']","['RSA 318-B:26, IX']","RSA 318-B:26, IX",False,[],,1367,case_order,1.0.0,2026-07-16T02:03:59.121836,0.8
2013-0571,2013-0571,['2013-0571'],,,,State of New Hampshire v. Robert D. Wade,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130571.pdf,,2015-05-12,,2015,"Superior Court (Goode, J.)",superior_court,Goode,criminal,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['criminal', 'constitutional', 'tort']","['RSA 635:1', 'RSA 651:2, II']",RSA 635:1,False,['plain_error'],,776,case_order,1.0.0,2026-07-16T02:04:02.458604,0.8
2013-0653,2013-0653,['2013-0653'],,,,"State of New Hampshire v. Benjamin L. Duling, Sr.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130653.pdf,,2015-04-29,,2015,"Superior Court (Nicolosi, J.)",superior_court,Nicolosi,criminal,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['criminal', 'competency', 'constitutional']","['RSA 630:1-b', 'RSA 135:17, II']",RSA 630:1-b,False,[],,1399,case_order,1.0.0,2026-07-16T02:04:02.827340,0.8
2013-0673,2013-0673,['2013-0673'],,,,State of New Hampshire v. Marc Mallard,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130673.pdf,,2015-01-21,,2015,,administrative,,criminal,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['criminal', 'civil_procedure']","['RSA 631:2, I', 'RSA 629:1', 'RSA 631:2-a', 'RSA 631:4, I']","RSA 631:2, I",False,['plain_error'],,1455,case_order,1.0.0,2026-07-16T02:04:03.409143,0.8
2013-0761,2013-0761,['2013-0761'],,,,"Brady Sullivan Millworks, LLC v. Lifeshare Liquidation Company, Inc. & a.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130761.pdf,,2015-03-12,,2015,Superior Court,superior_court,Garfunkel,civil,standard,remanded,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['insurance', 'civil_procedure']",[],,False,[],,1354,case_order,1.0.0,2026-07-16T02:04:03.582870,0.8
2013-0791,2013-0791,['2013-0791'],,,,JP Morgan Mortgage Acquisition Corp. v. Judy Thomas,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130791.pdf,,2015-02-11,,2015,"Circuit Court (Spath, J.)",circuit_court,Spath,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['civil_procedure', 'property', 'evidence']","['RSA 540:12', 'RSA 502-A:14, I', 'RSA 540:17']",RSA 540:12,False,[],,867,case_order,1.0.0,2026-07-16T02:04:04.391338,0.8
2013-0823,2013-0823,['2013-0823'],,,,David Blair & a. v. Penny A. Keough & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130823.pdf,,2015-02-11,,2015,,administrative,Kissinger,civil,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['statutory_interpretation', 'property']","['RSA 229:1', 'RSA 367:45', 'RSA 229', 'RSA 229:5', 'RSA 229:5, VII']",RSA 229:1,True,['de_novo'],,1448,case_order,1.0.0,2026-07-16T02:04:04.668455,0.8
